Timestamp,Gas_Level_ppm,Gas_Leak_Status,Temperature_C,Fire_Risk_Level,Noise_dB,Noise_Risk,Lift_Alignment,Lift_Status,Overall_Safety_Status
2026-03-12 17:27:03,48,Safe,25.16469565217391,Normal,72.36,Risky,186.17,Critical,Emergency
2026-03-12 17:29:32,206,Safe,25.19710144927536,Normal,72.52,Risky,201.99,Critical,Emergency
2026-03-12 17:30:34,92,Safe,27.049217391304346,Normal,72.57,Risky,77.66,Critical,Emergency
2026-03-12 17:31:36,21,Safe,27.532811594202897,Normal,72.5,Risky,96.93,Critical,Emergency
2026-03-12 17:32:38,247,Safe,24.9951884057971,Normal,72.03,Risky,101.15,Critical,Emergency
2026-03-12 17:34:52,228,Warning,24.79078260869565,Normal,73.57,Risky,96.12,Critical,Emergency
2026-03-12 19:48:44,1937,Safe,24.76086956521739,Normal,71.73,Safe,96.08,Critical,Emergency
2026-03-12 19:49:57,1941,Safe,24.80573913043478,Normal,71.75,Safe,185.33,Critical,Emergency
2026-03-12 19:51:09,1915,Safe,24.79078260869565,Normal,71.78,Safe,183.94,Critical,Emergency
2026-03-13 13:28:41,2787,Critical,24.79078260869565,Normal,72.23,Risky,217.82,Critical,Emergency
2026-03-13 13:29:44,2161,Warning,24.76086956521739,Normal,72.11,Risky,171.65,Critical,Emergency
2026-03-13 13:30:46,1996,Safe,24.43182608695652,Normal,72.1,Risky,197.2,Critical,Emergency
2026-03-13 13:31:49,1929,Safe,102.92045558420917,DANGER,72.05,Risky,396.19,Critical,Emergency
2026-03-13 13:32:51,2523,Critical,28.98359420289855,Normal,72.0,Risky,197.88,Critical,Emergency
2026-03-13 20:55:43,2081,Warning,26.116927536231884,Normal,71.98,Safe,215.13,Critical,Emergency
2026-03-13 20:56:48,1649,Safe,24.2,Normal,72.85,Risky,201.65,Critical,Emergency
2026-03-13 20:57:50,1606,Safe,24.24736231884058,Normal,72.16,Risky,215.99,Critical,Emergency
2026-03-13 20:58:51,1600,Safe,25.523652173913042,Normal,71.91,Safe,200.02,Critical,Emergency
2026-03-13 20:59:53,1591,Safe,25.30428985507246,Normal,72.68,Risky,217.7,Critical,Emergency
2026-03-13 21:00:55,1584,Safe,24.80573913043478,Normal,71.92,Safe,197.51,Critical,Emergency
2026-03-13 21:01:57,1585,Safe,24.79078260869565,Normal,72.93,Risky,197.88,Critical,Emergency
2026-03-13 21:02:59,1567,Safe,24.77582608695652,Normal,72.07,Risky,197.0,Critical,Emergency
2026-03-13 21:04:01,1535,Safe,24.52655072463768,Normal,71.95,Safe,197.08,Critical,Emergency
2026-03-13 21:05:02,1553,Safe,48.59657971014493,Normal,71.92,Safe,197.93,Critical,Emergency
2026-03-13 21:06:05,1599,Safe,48.59657971014493,Normal,71.85,Safe,206.48,Critical,Emergency
2026-03-13 21:07:07,1593,Safe,50.0,Warning,71.82,Safe,196.64,Critical,Emergency
2026-03-13 21:08:08,1595,Safe,36.71113043478261,Normal,71.85,Safe,198.37,Critical,Emergency
2026-03-13 21:10:08,1571,Safe,30.150202898550724,Normal,72.39,Risky,197.88,Critical,Emergency
2026-03-13 21:11:11,1601,Safe,27.844405797101448,Normal,71.9,Safe,200.84,Critical,Emergency
2026-03-13 21:12:13,2461,Warning,98.03480669077553,DANGER,71.88,Safe,198.22,Critical,Emergency
2026-03-13 21:13:15,2013,Warning,25.725565217391303,Normal,71.97,Safe,195.33,Critical,Emergency
2026-03-13 21:14:17,1855,Safe,24.49663768115942,Normal,72.7,Risky,197.88,Critical,Emergency
2026-03-13 21:15:19,2012,Warning,24.74591304347826,Normal,71.97,Safe,220.15,Critical,Emergency
2026-03-13 21:16:22,2278,Warning,42.319826086956525,Normal,72.0,Risky,192.88,Critical,Emergency
2026-03-13 21:17:24,1991,Safe,25.710608695652173,Normal,71.97,Safe,200.33,Critical,Emergency
2026-03-13 21:18:26,1850,Safe,25.618376811594203,Normal,71.92,Safe,201.57,Critical,Emergency
2026-03-13 21:19:28,1795,Safe,25.508695652173913,Normal,71.98,Safe,177.5,Critical,Emergency
2026-03-13 21:20:29,1761,Safe,25.678202898550722,Normal,72.28,Risky,199.04,Critical,Emergency
2026-03-13 21:21:31,1744,Safe,25.585971014492753,Normal,71.95,Safe,198.22,Critical,Emergency
2026-03-13 21:22:33,1710,Safe,25.523652173913042,Normal,71.85,Safe,200.33,Critical,Emergency
2026-03-13 21:23:35,1664,Safe,25.523652173913042,Normal,72.23,Risky,198.22,Critical,Emergency
2026-03-13 21:24:37,4095,Critical,25.399014492753622,Normal,72.0,Risky,199.95,Critical,Emergency
2026-03-13 21:25:39,2046,Warning,25.399014492753622,Normal,71.43,Safe,193.65,Critical,Emergency
2026-03-13 21:26:41,1806,Safe,25.413971014492752,Normal,72.49,Risky,201.59,Critical,Emergency
2026-03-13 21:27:43,1717,Safe,25.336695652173912,Normal,71.98,Safe,200.75,Critical,Emergency
2026-03-13 21:28:44,3243,Critical,25.22701449275362,Normal,71.95,Safe,196.64,Critical,Emergency
2026-03-13 21:29:46,1977,Safe,25.16469565217391,Normal,72.0,Risky,202.37,Critical,Emergency
2026-03-13 21:30:48,1776,Safe,25.13478260869565,Normal,72.1,Risky,194.5,Critical,Emergency
2026-03-13 21:31:50,1715,Safe,25.13478260869565,Normal,72.44,Risky,181.81,Critical,Emergency
2026-03-13 21:32:52,2991,Critical,101.7016628570301,DANGER,72.61,Risky,196.61,Critical,Emergency
2026-03-13 21:33:54,2768,Critical,25.04005797101449,Normal,72.0,Risky,199.24,Critical,Emergency
2026-03-13 21:34:56,2327,Warning,25.02510144927536,Normal,71.92,Safe,199.82,Normal,Alert
2026-03-13 21:37:06,2037,Warning,25.02510144927536,Normal,70.54,Safe,203.98,Normal,Alert
2026-03-13 21:38:08,2129,Warning,25.01014492753623,Normal,72.0,Risky,184.52,Normal,Alert
2026-03-13 21:39:10,2310,Warning,25.04005797101449,Normal,71.98,Safe,216.5,Normal,Alert
2026-03-13 21:41:29,2187,Warning,25.04005797101449,Normal,71.98,Dangerous,184.02,Normal,Emergency
2026-03-13 21:42:31,2101,Warning,25.02510144927536,Normal,72.02,Dangerous,215.64,Normal,Emergency
2026-03-13 21:43:32,2062,Warning,25.30428985507246,Normal,71.97,Dangerous,180.27,Normal,Emergency
2026-03-13 21:44:34,2242,Warning,25.28933333333333,Normal,71.98,Dangerous,182.77,Normal,Emergency
2026-03-13 21:46:27,2126,Warning,25.259420289855072,Normal,72.41,Risky,181.48,Normal,Alert
2026-03-13 21:49:34,2146,Warning,25.259420289855072,Normal,71.87,Safe,176.46,Normal,Alert
2026-03-13 21:50:36,2170,Warning,25.22701449275362,Normal,71.87,Safe,182.29,Normal,Alert
2026-03-13 21:51:38,2129,Warning,25.21205797101449,Normal,73.31,Risky,179.4,Critical,Emergency
2026-03-13 21:52:40,2143,Warning,25.336695652173912,Normal,71.92,Safe,183.79,Critical,Emergency
2026-03-13 21:53:42,2176,Warning,25.259420289855072,Normal,72.46,Risky,97.24,Critical,Emergency
2026-03-13 21:58:46,2182,Warning,36.81831884057971,Normal,72.07,Risky,98.97,Critical,Emergency
2026-03-13 21:59:51,2114,Warning,32.56568115942029,Normal,71.9,Safe,98.97,Critical,Emergency
